account_id,month,transaction_id,account_type,bank_id,standard,sameday
acme,02-2023,126dff1e,checking,bank_green,293,3
oscorp,02-2023,8.90E+08,checking,bank_green,"1,290",
oscorp,02-2023,ba215e4f,checking,bank_boa,"1,781",
matrix_industries,02-2023,12f861b0,savings,bank_frb,8,12
matrix_industries,02-2023,d45d44c1,checking,bank_boa,4,2
hyperscale,02-2023,80a11fee,checking,bank_singapore,0,1
hyperscale,02-2023,92427375,checking,bank_boa,32,28
catalyst_industries,02-2023,5e6fe003,savings,bank_frb,1,
vexus,02-2023,22a1377c,checking,bank_singapore,0,0
vexus,02-2023,f8b789d1,checking,bank_boa,242,158
zentaur,02-2023,a432c3ba,checking,bank_hsbc,5,
hyperscale,02-2023,69bfe097,savings,bank_singapore,0,0
hyperscale,02-2023,1ee6862d,checking,bank_boa,151,2
matrix_industries,02-2023,4f5d3267,checking,us_bank,8,
matrix_industries,02-2023,a77e10f0,savings,bank_hsbc,2,
matrix_industries,02-2023,646e1d19,checking,bank_boa,2,
matrix_industries,02-2023,31476611,checking,bank_singapore,0,0
vexus,02-2023,acc559aa,checking,bank_boa,"23,980","6,420"
vexus,02-2023,5e6ebdd8,checking,bank_hsbc,85,
catalyst_industries,02-2023,6ff0c057,checking,bank_svb,18,
acme,02-2023,055e1a5f,checking,bank_frb,2139,321
acme,02-2023,f8ae0067,savings,bank_singapore,1113,0
hyperscale,02-2023,e2323ba7,savings,bank_boa,587,6
hyperscale,02-2023,b6f0b727,checking,bank_singapore,0,0
matrix_industries,02-2023,9bb1c986,checking,bank_boa,1,19
matrix_industries,02-2023,b064e09f,checking,bank_singapore,0,0
matrix_industries,02-2023,8cacc79c,checking,bank_boa,725,1
hyperscale,02-2023,0a93d37f,checking,us_bank,1029,
hyperscale,02-2023,a277a4a2,checking,us_bank,477,1029
vexus,02-2023,49813970,savings,us_bank,482,
vexus,02-2023,a8967c21,checking,bank_frb,95,"12,439"
matrix_industries,02-2023,b0f8bf69,checking,bank_singapore,,7
matrix_industries,02-2023,ede25db0,checking,bank_singapore,,0
acme,02-2023,151c685a,checking,bank_boa,,6
acme,02-2023,c9bbacaa,checking,bank_singapore,0,
oscorp,02-2023,8b4ebefa,checking,bank_boa,11,
hyperscale,02-2023,f579ed9d,checking,bank_singapore,0,
hyperscale,02-2023,86935440,checking,bank_boa,"1,906",
oscorp,02-2023,507a9528,checking,bank_singapore,,0
vexus,02-2023,5d334335,checking,bank_boa,,59
vexus,02-2023,b135ab5d,savings,bank_singapore,0,
matrix_industries,02-2023,581aa897,checking,bank_boa,892,1295
matrix_industries,02-2023,24d85951,checking,us_bank,289,
oscorp,02-2023,ca3f4bbc,checking,bank_frb,"14,466",37
catalyst_industries,02-2023,0e52b29f,checking,bank_hsbc,114,
acme,02-2023,46afdef2,checking,bank_boa,114,
acme,02-2023,26c751f4,savings,bank_hsbc,"1,202",
oscorp,02-2023,91ee9a82,savings,bank_boa,"5,312",
hyperscale,02-2023,79209946,checking,bank_singapore,1910,0
hyperscale,02-2023,063119bb,checking,bank_boa,,"6,985"
oscorp,02-2023,2a78ac37,checking,bank_burling,,8
matrix_industries,02-2023,ad4ab56e,checking,bank_singapore,0,0
matrix_industries,02-2023,a63e76c6,savings,bank_boa,13,26
oscorp,02-2023,9da5ce9f,checking,bank_singapore,,1029
matrix_industries,02-2023,98d35751,checking,bank_boa,,35
matrix_industries,02-2023,3503b936,checking,bank_emprise,,39
oscorp,02-2023,db023a80,savings,bank_boa,232,39
vexus,02-2023,93024199,checking,bank_frb,,1
vexus,02-2023,f56a444b,checking,bank_boa,,1
oscorp,02-2023,61e0fba2,checking,bank_singapore,0,0
acme,02-2023,7204525c,checking,bank_boa,1,53
acme,02-2023,2cefcfa0,savings,bank_singapore,,0
catalyst_industries,02-2023,9c8bf34b,checking,bank_boa,,1
oscorp,02-2023,8cb37deb,checking,bank_frb,27,
hyperscale,02-2023,3e09a06a,checking,bank_boa,27,
hyperscale,02-2023,9864072f,checking,bank_singapore,0,0
oscorp,02-2023,0545524e,checking,bank_boa,123,32
vexus,02-2023,ce343039,checking,bank_singapore,0,
vexus,02-2023,bac5c2b8,savings,bank_boa,277,
matrix_industries,02-2023,ef1095a4,checking,bank_singapore,0,
matrix_industries,02-2023,b471ecd9,checking,bank_boa,23,
oscorp,02-2023,c278028c,checking,bank_singapore,80,0
catalyst_industries,02-2023,b02fa8a4,checking,bank_boa,,3
oscorp,02-2023,f2f5ff6a,checking,us_bank,"20,398",
hyperscale,02-2023,d73368b0,checking,bank_singapore,0,0
hyperscale,02-2023,fee3c900,savings,bank_boa,449,123
matrix_industries,02-2023,0a627a37,checking,bank_singapore,0,0
matrix_industries,02-2023,d2a32b88,checking,bank_boa,"1,953",1239
